tag,bucket,label,definition,notes
D.I_HARDWARE,Domain,Somatic & Biological Reality,"Body/nervous system, sensory gating, interoception, sleep, pain, rhythms.",
D.II_OS,Domain,Cognitive Architecture,"Inner narrative, beliefs, epistemology, attention, language/metaphors.",
D.III_EXPERIENCE,Domain,Emotional Landscape,"Emotional range, shame, defenses, projection/shadow, taboo.",
D.IV_SELF,Domain,Identity & Self,"Authenticity, roles, values, digital self, integration.",
D.V_NETWORK,Domain,Relationships & Attachment,"Attachment, conflict, repair, family roles, micro-dynamics.",
D.VI_OUTPUT,Domain,"Agency, Behavior & Lifestyle","Habits, avoidance, money psychology, crisis response, risk.",
D.VII_META,Domain,Existential & Temporal,"Meaning, time, regret, purpose, spirituality/values.",
D.VIII_SOURCE,Domain,Developmental Origins,"Formative learning, family myths, early attachment templates, wounds.",
D.IX_TOOLKIT,Domain,Strengths & Resources,"Protective factors, skills, support, resilience, recovery.",
D.X_ECOSYSTEM,Domain,"Context, Culture & Systems","Environment design, cultural scripts, constraints, access, systems.",
P.FOUNDER,Persona,Founder/Builder,Owns a company/product; high ownership and uncertainty load.,
P.ENGINEER,Persona,Engineer/Technical,"Technical thinker; prefers systems, logic, precision.",
P.TECH_LEAD,Persona,Tech Lead/Architect,Leads technical direction; high context-switching and responsibility.,
P.PM_PRODUCT,Persona,Product/PM,Roadmap/coordination role; high stakeholder and prioritization load.,
P.DESIGN_CREATIVE,Persona,Designer/Creative,Creative producer; identity often tied to output and taste.,
P.EXEC_LEADER,Persona,Executive Leader,Org-wide accountability; strategy + people + risk decisions.,
P.PEOPLE_MANAGER,Persona,People Manager,"Manages humans; feedback, conflict, performance, care load.",
P.SOLOPRENEUR,Persona,Solopreneur,One-person business; isolation + context overload.,
P.REMOTE_WORKER,Persona,Remote Worker,Work-home boundary blur; social and rhythm vulnerabilities.,
P.MODERN_STOIC,Persona,Modern Stoic,"Values agency, discipline, meaning, emotional mastery.",
P.HIGH_ACHIEVER,Persona,High Achiever,Achievement-driven; risk of perfectionism and burnout.,
P.HIGH_FUNCTIONING_SKEPTIC,Persona,High-Functioning Skeptic,"Skeptical of woo; wants evidence, structure, utility.",
S.BURNOUT,Situation,Burnout,"Chronic stress with depletion, cynicism, reduced efficacy.",
S.PERFORMANCE_SLUMP,Situation,Performance Slump,Noticeable drop in output/quality or consistency.,
S.NEW_ROLE,Situation,New Role/Promotion,Adjustment to new expectations/identity and competence gaps.,
S.STARTUP_VOLATILITY,Situation,Volatility,Rapid change/uncertainty; threat system frequently activated.,
S.LAYOFFS,Situation,Layoffs/Job Loss,Employment loss or fear of layoffs; stability threat.,
S.PIVOT,Situation,Pivot/Identity Shift,Major direction change in life/work; uncertainty + grief.,
S.CONFLICT,Situation,Active Conflict,Ongoing relational/work conflict; repair is needed.,
S.BREAKUP,Situation,Breakup/Separation,Romantic rupture or distancing; attachment alarm.,
S.GRIEF_LOSS,Situation,Grief/Loss,"Loss of person, role, health, future, or identity.",
S.ISOLATION,Situation,Isolation,"Low connection; loneliness, reduced co-regulation.",
S.CAREGIVER_LOAD,Situation,Caregiver Load,Supporting family/others; emotional labor + time scarcity.,
S.HEALTH_SCARE,Situation,Health Scare,Medical concern triggers threat response and priorities shift.,
S.RELOCATION,Situation,Move/Relocate,Context shift; loss of routines and social anchors.,
S.DECISION_OVERLOAD,Situation,Decision Overload,Too many decisions; executive fatigue and avoidance.,
G.CLARITY,Goal,Clarity,Reduce ambiguity; name the real problem and constraints.,
G.REGULATION,Goal,Regulation,Stabilize nervous system; widen window of tolerance.,
G.FOCUS,Goal,Focus,Increase sustained attention; protect deep work.,
G.RECOVERY,Goal,Recovery,Rebuild baseline energy and resilience capacity.,
G.BOUNDARIES,Goal,Boundaries,Set/hold limits; reduce leaks and resentment.,
G.CONFIDENCE,Goal,Confidence,Increase self-trust and internal permission.,
G.DECISION_QUALITY,Goal,Decision Quality,Improve choices under uncertainty; reduce regret loops.,
G.HABIT_CHANGE,Goal,Habit Change,"Shift behaviors; build cues, routines, identity alignment.",
G.INTIMACY,Goal,Intimacy,"Increase closeness, vulnerability, and secure connection.",
G.MEANING,Goal,Meaning,"Reconnect to values, purpose, awe, and narrative coherence.",
G.COMMUNICATION,Goal,Communication,"Speak needs, repair conflict, reduce misunderstanding.",
G.AGENCY,Goal,Agency,Move from passive to active stance; restore choice.,
SYM.ANXIETY,Symptom,Anxiety,"Persistent worry, hyperarousal, anticipatory threat scanning.",
SYM.PANIC_SPIKES,Symptom,Panic Spikes,Acute surges of fear; breath/heart disruption.,
SYM.NUMBNESS,Symptom,Numbness,"Emotional shutdown, flatness, disconnection.",
SYM.IRRITABILITY,Symptom,Irritability,Low threshold for frustration; snappy responses.,
SYM.SHAME,Symptom,Shame,"Self-condemnation, hiding, unworthiness, exposure fear.",
SYM.GUILT,Symptom,Guilt,Moral self-blame; worry about harm or failure.,
SYM.RUMINATION,Symptom,Rumination,Repetitive thinking loop; replaying scenarios.,
SYM.OVERTHINKING,Symptom,Overthinking,Analysis paralysis; excessive modeling of outcomes.,
SYM.PROCRASTINATION,Symptom,Procrastination,Delay/avoidance of important tasks.,
SYM.DECISION_PARALYSIS,Symptom,Decision Paralysis,Stuck at choice points; fear of wrong move.,
SYM.SLEEP_ISSUES,Symptom,Sleep Issues,"Insomnia, early waking, non-restorative sleep.",
SYM.FATIGUE,Symptom,Fatigue,"Low energy, exhaustion, reduced capacity.",
SYM.BRAIN_FOG,Symptom,Brain Fog,Cognitive dullness; slow processing; forgetfulness.,
SYM.LONELINESS,Symptom,Loneliness,Painful sense of disconnection or unseen-ness.,
SYM.LOW_MOOD,Symptom,Low Mood,"Sadness, heaviness, hopelessness tone.",
SYM.ANGER_SPIKES,Symptom,Anger Spikes,Sudden anger or rage; loss of control.,
SYM.PEOPLE_PLEASING,Symptom,People-Pleasing,Appeasing to avoid conflict/abandonment; self-erasure.,
SYM.CONTROL_COMPULSION,Symptom,Control Compulsion,Over-structuring to reduce uncertainty/anxiety.,
SYM.COMPARISON_TRAP,Symptom,Comparison Trap,Self-worth swings based on others' status/metrics.,
SYM.DISSOCIATION,Symptom,Dissociation,"Spacing out, unreality, memory gaps under stress.",
SYM.SOMATIC_TENSION,Symptom,Somatic Tension,Jaw/neck/chest/gut tension; headaches; bracing.,
M.THREAT_RESPONSE,Mechanism,Threat Response,Fight/flight/freeze/fawn patterns driving behavior.,
M.AVOIDANCE_LOOP,Mechanism,Avoidance Loop,Short-term relief reinforces long-term stuckness.,
M.DOPAMINE_SEEKING,Mechanism,Dopamine Seeking,Seeking novelty/reward to escape discomfort or low mood.,
M.PERFECTIONISM,Mechanism,Perfectionism,Standards used as safety; fear-driven excellence.,
M.SCARCITY_SCRIPT,Mechanism,Scarcity Script,Core belief: not enough time/money/love; hoard/overwork.,
M.ATTACHMENT_ALARM,Mechanism,Attachment Alarm,Threat of abandonment triggers protest/withdraw behaviors.,
M.IDENTITY_FUSION,Mechanism,Identity Fusion,Self-worth fused with role/output/status.,
M.COG_DISTORTION,Mechanism,Cognitive Distortion,"Catastrophizing, black-white, mind-reading, etc.",
M.RUMINATION_ENGINE,Mechanism,Rumination Engine,Looping thought to gain certainty/control.,
M.SHAME_CORE,Mechanism,Shame Core,"Self as flawed; drives hiding, overcompensation, aggression.",
M.PROJECTION_SHADOW,Mechanism,Projection/Shadow,Disowned traits seen in others; strong emotional reactions.,
M.EMOTIONAL_SUPPRESSION,Mechanism,Suppression,Feelings pushed down; leaks as irritability or numbness.,
M.DISSOCIATION_SHUTDOWN,Mechanism,Shutdown,Nervous system goes offline to survive overwhelm.,
M.HYPERVIGILANCE,Mechanism,Hypervigilance,"Constant scanning for threat/criticism; tension, fatigue.",
M.CONFLICT_AVOIDANCE,Mechanism,Conflict Avoidance,Avoid repair to prevent discomfort; resentment builds.,
M.CONTROL_STRATEGY,Mechanism,Control Strategy,Control used to manage anxiety/uncertainty.,
M.NEED_DENIAL,Mechanism,Need Denial,Needs minimized to avoid dependence or rejection.,
M.EXTERNAL_VALIDATION,Mechanism,External Validation,Self-esteem outsourced to praise/metrics/likes.,
M.LEARNED_HELPLESSNESS,Mechanism,Learned Helplessness,Agency collapse after repeated failure/chaos.,
M.MORAL_INJURY,Mechanism,Moral Injury,"Violation of values leaves guilt, cynicism, bitterness.",
M.GRIEF_BLOCK,Mechanism,Grief Block,Unprocessed grief shows up as numbness/overwork.,
M.SOMATIC_DISREGULATION,Mechanism,Somatic Dysregulation,Window of tolerance narrow; body drives reactivity.,
M.DECISION_FATIGUE,Mechanism,Decision Fatigue,Depleted executive function leads to avoidance/impulsivity.,
M.SELF_SABOTAGE,Mechanism,Self-Sabotage,Protective behavior prevents risk/success; preserves identity.,
M.INTIMACY_AVOIDANCE,Mechanism,Intimacy Avoidance,Distance used to prevent vulnerability/shame exposure.,
M.FEAR_OF_SUCCESS,Mechanism,Fear of Success,Success implies visibility/pressure; triggers avoidance.,
PERF.DEEP_WORK,Performance,Deep Work,Ability to sustain focus without interruption.,
PERF.CONTEXT_SWITCHING,Performance,Context Switching,Frequent switching taxes cognition and mood.,
PERF.MEETING_DRAIN,Performance,Meeting Drain,Social/cognitive depletion from meetings.,
PERF.DECISION_FATIGUE,Performance,Decision Fatigue,Choice overload reduces quality and agency.,
PERF.EXEC_FUNCTION,Performance,Executive Function,"Planning, prioritizing, sequencing, initiation.",
PERF.OVERCOMMIT,Performance,Overcommitment,Saying yes beyond capacity; boundary issues.,
PERF.BUSYWORK,Performance,Busywork,Low-value tasks used to feel productive.,
PERF.IMPOSTOR_PATTERN,Performance,Impostor Pattern,Fear of being exposed as incompetent; overwork.,
PERF.METRICS_OBSESSION,Performance,Metrics Obsession,Self-worth/strategy over-tied to numbers.,
PERF.CREATIVE_BLOCK,Performance,Creative Block,Difficulty starting/finishing creative work.,
PERF.SCOPE_CREEP,Performance,Scope Creep,Inflating commitments/products beyond necessity.,
PERF.LATE_NIGHT_GRIND,Performance,Late-Night Grind,Work extends into sleep; recovery debt.,
PERF.RECOVERY_DEFICIT,Performance,Recovery Deficit,Insufficient rest; chronic depletion cycle.,
PERF.COG_LOAD,Performance,Cognitive Load,Too many open loops/tabs/tasks; RAM overload.,
PERF.DELAYED_START,Performance,Delayed Start,Trouble initiating tasks despite intention.,
PERF.FEEDBACK_AVOIDANCE,Performance,Feedback Avoidance,Avoid feedback due to shame/identity threat.,
PERF.CONFLICT_COST,Performance,Conflict Cost,Unresolved conflict reduces performance bandwidth.,
PERF.PRIMARY_GOAL_DRIFT,Performance,Goal Drift,Losing north star; reactive work dominates.,
PERF.OPERATING_AT_EDGE,Performance,Operating at Edge,No buffer; fragile capacity; crises cascade.,
PERF.TOOL_OVERLOAD,Performance,Tool Overload,Too many systems/apps; meta-work dominates.,
REL.ATTACHMENT_STYLE,Relationship,Attachment Style,"Patterns of closeness, distance, security, protest.",
REL.TRUST_DEFAULT,Relationship,Trust Default,Baseline trust vs earned trust orientation.,
REL.CONFLICT_STYLE,Relationship,Conflict Style,Pursue/withdraw/freeze/fawn/attack tendencies.,
REL.REPAIR,Relationship,Repair,Ability to reconnect after rupture; apology and follow-through.,
REL.BOUNDARY_LEAKS,Relationship,Boundary Leaks,Weak boundaries cause resentment and overload.,
REL.PEOPLE_PLEASING,Relationship,People-Pleasing,Self-suppression to keep connection/safety.,
REL.AVOIDANT_DISTANCE,Relationship,Avoidant Distance,Creating space to reduce vulnerability.,
REL.PURSUER_CHASE,Relationship,Pursuer Chase,Chasing closeness when anxious; escalating tension.,
REL.LONELY_IN_ROOM,Relationship,Lonely in a Room,Feeling unseen even around others.,
REL.EMOTIONAL_LABOR,Relationship,Emotional Labor,Carrying relational management work.,
REL.DEBT_LEDGER,Relationship,Debt Ledger,Keeping a mental tally of favors/imbalance.,
REL.ASSERTIVENESS,Relationship,Assertiveness,Clear requests; saying no; naming needs.,
REL.FAMILY_ROLES,Relationship,Family Roles,Hero/scapegoat/caretaker patterns and loyalty binds.,
REL.GOTTEN_USED_TO_CHAOS,Relationship,Chaos Normalization,High baseline drama feels normal; calm feels unsafe.,
REL.INTIMACY_SAFETY,Relationship,Intimacy Safety,Capacity for vulnerability and closeness.,
REL.COMMUNICATION_BREAKDOWN,Relationship,Communication Breakdown,"Misalignment, mind-reading, avoidance of hard talks.",
REL.BETRAYAL_WOUND,Relationship,Betrayal Wound,Trust fracture driving vigilance or withdrawal.,
REL.CO_REGULATION,Relationship,Co-Regulation,Ability to regulate via safe others; mutual soothing.,
DIG.SCROLL_TRANCE,Digital,Scroll Trance,Autopilot scrolling; time loss; numbness.,
DIG.NOTIFICATION_THREAT,Digital,Notification Threat,"Alerts trigger urgency, anxiety, and reactivity.",
DIG.TAB_HOARDING,Digital,Tab Hoarding,Many open tabs as anxiety RAM or aspirational identity.,
DIG.DOPAMINE_LOOP,Digital,Dopamine Loop,Reward-seeking via apps/feeds; difficulty stopping.,
DIG.COMPARISON_TRAP,Digital,Comparison Trap,Status/achievement comparison via social platforms.,
DIG.IDENTITY_PERFORMANCE,Digital,Identity Performance,Curating persona; fear of judgment/visibility.,
DIG.LATE_NIGHT_SPIRAL,Digital,Late-Night Spiral,Night scrolling worsens sleep and mood.,
DIG.PRODUCTIVITY_PORN,Digital,Productivity Porn,Consuming optimization content instead of doing.,
DIG.TOOL_OVERLOAD,Digital,Tool Overload,Too many apps/processes; meta-work.,
DIG.DOOMSCROLL_NEWS,Digital,Doomscroll,Threat-heavy content; anxiety amplification.,
DIG.GAMING_COMPULSION,Digital,Gaming Compulsion,Escapism via games; time distortion.,
DIG.PORN_COMPULSION,Digital,Porn/Compulsion,Compulsive sexual content use; shame/avoidance cycles.,
DIG.MULTITASKING,Digital,Multitasking,Split attention; reduced depth and calm.,
DIG.DIGITAL_BOUNDARIES,Digital,Digital Boundaries,Rules around screens; attention hygiene.,
BIO.SLEEP,Biological,Sleep,"Sleep onset/maintenance, quality, schedule, restoration.",
BIO.RHYTHMS,Biological,Rhythms,"Circadian patterns, timing, consistency of routines.",
BIO.CAFFEINE_NICOTINE,Biological,Caffeine/Nicotine,Stimulant regulation patterns and costs.,
BIO.NUTRITION_HYDRATION,Biological,Nutrition/Hydration,Food and water impacting mood and cognition.,
BIO.MOVEMENT_MEDICINE,Biological,Movement,Exercise as regulation and identity anchor.,
BIO.SENSORY_OVERLOAD,Biological,Sensory Overload,Textures/sounds/lights trigger irritability or shutdown.,
BIO.INTEROCEPTION,Biological,Interoception,"Awareness of internal signals (hunger, tension, fatigue).",
BIO.BREATH_SIGNATURE,Biological,Breath Signature,"Breath changes under stress (holding, shallow, fast).",
BIO.POSTURE_SAFETY,Biological,Posture of Safety,Body posture shifts with safety vs judgment.,
BIO.PAIN_SIGNAL,Biological,Pain Signal,Pain interpretation and response patterns.,
BIO.TENSION_PATTERNS,Biological,Tension Patterns,Jaw/neck/gut bracing; chronic tightness.,
BIO.DISSOCIATION_TELL,Biological,Shutdown Tell,Somatic signs preceding dissociation/shutdown.,
BIO.SOMATIC_SOOTHING,Biological,Somatic Soothing,"Self-touch, tactile soothing, sensory regulation tools.",
BIO.FATIGUE_RECOVERY,Biological,Fatigue/Recovery,Energy budgeting; recovery practices and debt.,
I1.PING,Intensity,Ping,Low intensity; safe opener; minimal vulnerability.,
I2.SCAN,Intensity,Scan,Moderate; reveals patterns; some vulnerability.,
I3.DEEP,Intensity,Deep,High; touches shame/attachment/identity; may be activating.,
I4.EXPOSURE,Intensity,Exposure,Very high; trauma-adjacent; use with strong safety container.,
I5.CLINICAL_INTAKE,Intensity,Clinical Intake,Structured assessment-style questioning; may include risk checks.,
R.TRAUMA_SENSITIVE,Risk,Trauma Sensitive,May activate trauma memory; require pacing and consent.,
R.PANIC_RISK,Risk,Panic Risk,May provoke panic sensations; include grounding guidance.,
R.DISSOCIATION_RISK,Risk,Dissociation Risk,May lead to shutdown; monitor somatic cues.,
R.SELF_HARM_CHECK,Risk,Self-Harm Check,Use only in appropriate clinical contexts; include crisis resources.,
R.SUBSTANCE_SENSITIVE,Risk,Substance Sensitive,Addiction/compulsion content; risk of shame spiral.,
R.RELATIONSHIP_VOLATILE,Risk,Relationship Volatile,Couples questions that can escalate conflict if unsafe.,
R.MEDICAL_LIMITS,Risk,Medical Limits,Health questions that require medical referral if alarming.,
F.SOLO_JOURNAL,Format,Solo Journal,Designed for self-reflection writing.,
F.COACHING_1ON1,Format,Coaching 1:1,Works in coaching/mentoring context.,
F.THERAPY_1ON1,Format,Therapy 1:1,Best used by clinicians; deeper formulation possible.,
F.COUPLES,Format,Couples,Pairs/dyads; includes repair and attachment framing.,
F.GROUP,Format,Group,Small group facilitation; shared norms needed.,
F.TEAM_WORKSHOP,Format,Team Workshop,Team/leadership context; psychological safety required.,
F.CARD_DECK,Format,Card Deck,"Short, punchy question suitable for deck.",
